title,authors,year,doi,type,source,abstract,openalex_id,open_access
"Determinants of 21st-Century Skills and 21st-Century Digital Skills for Workers: A Systematic Literature Review","Ester van Laar, Alexander Johannes Aloysius Maria van Deursen, Jan van Dijk et al.","2020","https://doi.org/10.1177/2158244019900176","article","SAGE Open","This study brings attention to the determinants of 21st-century skills and 21st-century digital skills. The following skills are investigated: technical, information, communication, collaboration, critical thinking, creativity, and problem-solving skills. To understand differences in the level of these skills among workers, we need to know the factors that determine an individual’s skill level. A systematic literature review was conducted to provide a comprehensive overview of empirical studies measuring skill determinants. The results show that there is strong need for research on determinants of communication and collaboration skills. In a digital context, determinants for creativity and critical thinking are hardly studied. Furthermore, the identified determinants of 21st-century skills studies are limited to personality and psychological determinants, neglecting, for example, social determinants such as social support. Although digital skills studies show more variety, they mostly cover demographic and socioeconomic determinants.","https://openalex.org/W3001428562","yes"
"Workplace literacy skills—how information and digital literacy affect adoption of digital technology","Shahrokh Nikou, Mark de Reuver, Matin Mahboob Kanafi","2022","https://doi.org/10.1108/jd-12-2021-0241","article","Journal of Documentation","Purpose Information and digital literacy have recently received much interest, and they are being viewed as critical strategic organisational resources and skills that employees need to obtain in order to function at their workplaces. Yet, the role of employees' literacy seems to be neglected in current literature. This paper aims to explore the roles that information and digital literacy play on the employees' perception in relation to usefulness and ease of use of digital technologies and consequently their intention to use technology in the practices they perform at the workplace. Design/methodology/approach This paper builds a conceptual model with key constructs (information literacy and digital literacy) as new antecedents to the technology acceptance model and aims to establish that information literacy and digital literacy are indirect determinants of employees' intention to use digital technologies at the workplace. The data set used in this paper comprises of 121 respondents and structural equation modelling was used. Findings The findings reveal that both information literacy and digital literacy have a direct impact on perceived ease of use of technology but not on the perceive usefulness. The findings also show that both literacies have an indirect impact on the intention to use digital technology at work via attitude towards use. Practical implications Managers and decision-makers should pay close attention to the literacy levels of their staff. Because literacies are such an important skillset in the digital age, managers and chief information officers may want to start by identifying which work groups or individuals require literacy training and instruction, and then provide specific and relevant training or literacy interventions to help those who lack sufficient literacy. Originality/value This is one of the first studies to consider information literacy and digital literacy as new antecedents of the technology acceptance model at the workplace environment.","https://openalex.org/W4280544081","yes"
"Effort expectancy mediate the relationship between instructors’ digital competence and their work engagement: evidence from universities in China","Guoyuan Sang, Kai Wang, Shihua Li et al.","2023","https://doi.org/10.1007/s11423-023-10205-4","article","Educational Technology Research and Development","","https://openalex.org/W4319455185","yes"
"A self-determination theory approach to teacher digital competence development","Thomas K. F. Chiu, Garry Falloon, Yanjie Song et al.","2024","https://doi.org/10.1016/j.compedu.2024.105017","article","Computers & Education","Teacher Digital Competence (TDC) framework guides policy revision and professional development, empowering teachers for future classrooms by technologies such as artificial intelligence (AI) and metaverse. Falloon (2020) expanded the TPACK framework to include personal-ethic and personal-professional competencies, addressing ethical, safe, and productive functioning in diverse, digital environments for a new TDC framework. The two new sets of personal-competencies are very important to the use of AI and metaverse in education. However, research on implementation of Falloon's (2020) TDC framework that requires interdisciplinary collaboration among school members is limited. Teachers' engagement in TDC development activities is influenced by school digital learning policy and culture, and explained by three needs satisfaction in Self-determination Theory. Therefore, this study had two goals. First it proposed and examined a research model using school learning support as a predictor, needs satisfactions as mediating variable and the two new sets of TDC as criterion variables by analyzing questionnaire data. Second, it identifies needs-supportive strategies for digital education by analyzing interviews and school documents. The participants were 370 school teachers. The results showed that the positive effect of the school learning support on TDC, and needs satisfaction fully mediated the relationship between perceived school learning support and the two sets of personal competencies. We also suggested 12 ways for designing school digital policy and culture that satisfy teachers' needs, and validated instruments of the two sets of personal competencies. TDC that covers teacher artificial intelligence competence is important to the future teacher professional development.","https://openalex.org/W4392132857","yes"
"The Promotion of Technology Acceptance and Work Engagement in Industry 4.0: From Personal Resources to Information and Training","Monica Molino, Claudio Giovanni Cortese, Chiara Ghislieri","2020","https://doi.org/10.3390/ijerph17072438","article","International Journal of Environmental Research and Public Health","Thanks to the rapid advances of technology, we are currently experiencing the fourth industrial revolution, which is introducing several changes in how organizations operate and how people learn and do their work. Many questions arise within this framework about how these transformations may affect workers' wellbeing, and the Work and Organizational Psychology is called upon to address these open issues. This study aims to investigate personal and organizational antecedents (resilience, goal orientation and opportunities for information and training) and one consequence (work engagement) of technology acceptance within factories, comparing white- and blue-collar workers. The study involved a sample of 598 workers (white-collar = 220, blue-collar = 378) employed at an Italian company who filled in a self-report questionnaire. In both samples, the multi-group structural equation model showed a positive relationship between resilience, opportunities for information and training, and technology acceptance, which in turn showed a positive association with work engagement. All indirect effects were significant. This study investigated the motivational dynamics related to the introduction of new technologies within factories involving the little-studied population of blue-collar workers. Results highlighted the importance of providing information and opportunities for training to all employees, in order to support Industry 4.0 transformations without impacting on workers' motivation.","https://openalex.org/W3014262465","yes"
"Factors Influencing the Development of Digital Competence in Teachers: Analysis of the Teaching Staff of Permanent Education Centres","Francisco Javier Hinojo Lucena, Inmaculada Aznar Díaz, María Pilar Cáceres Reche et al.","2019","https://doi.org/10.1109/access.2019.2957438","article","IEEE Access","The technological development of recent decades has had an impact on the lifestyle of adults. As a result, it has been necessary for citizens to adapt and learn how to use technological resources, an essential requirement to foster employability. This requirement acquires a special nuance within Permanent Education, which mainly involves adults who would like to cover some training need. The aims of this study were to analyze the digital competence of Permanent Education teachers, and to determine the factors that have an impact on its development. Therefore, a quantitative methodology has been used, whereby a sample of Permanent Education teachers in the region of Andalusia, Spain, were asked to complete a questionnaire on digital competence (n = 140). The results confirmed the low digital competence of teachers, and how some factors such as age, kind of centre, prior training on ICT, degree, teaching experience and professional category affect the development of digital competence. The last part of the study discussed the potential explanations for the study findings and suggestions for future research.","https://openalex.org/W2992741022","yes"
"A Digital Literacy Model to Narrow the Digital Literacy Skills Gap","Pritika Reddy, Kaylash Chaudhary, Shamina Hussein","2022","https://doi.org/10.2139/ssrn.4308566","article","SSRN Electronic Journal","","https://openalex.org/W4312970376","yes"
"The Role of Leadership and Digital Transformation in Higher Education Students’ Work Engagement","Valentin Niţă, Ioana Guțu","2023","https://doi.org/10.3390/ijerph20065124","article","International Journal of Environmental Research and Public Health","Teaching and learning processes should be subject to continuous change due to the constant evolution of social, educational and technological environments, which ultimately results in higher levels of student engagement. The current paper describes the technological changes faced by higher education institutions as a result of digital transformation challenges. Further, transformational and transactional leadership styles' effectiveness is regarded within the context of higher education institutions' digital enhancements. Over time, these factors have led to contextual shifts that have disengaged students from learning and thus self-development. The current research aimed to examine how higher education institutions should apply different leadership styles within digitally transformed contexts so as to increase students' learning engagement and reduce the risk of failure in their future developments within (inter)national labor markets. Data gathering and analysis involved a qualitative approach: an online survey was distributed, resulting in 856 responses. Through structural equation modeling, the data revealed a valid higher education digital transformation assessment tool; the results also emphasize the increased role of transactional leadership, as opposed to the traditional transformational style, within a highly digitized higher education institutional framework. Consequently, the linear relationship of students' work engagement with leadership proved to also be enhanced by quadratic effects. The current study stresses the importance of internal and external peers in higher education performance through high levels of student learning (work) engagement through leadership and a uniformly developed digitally transformed higher education environment.","https://openalex.org/W4324381670","yes"
"RETRACTED: Factors influencing pre-service special education teachers’ intention toward AI in education: Digital literacy, teacher self-efficacy, perceived ease of use, and perceived usefulness","Ni Yao, Wang Qiong","2024","https://doi.org/10.1016/j.heliyon.2024.e34894","article","Heliyon","The use of artificial intelligence in education (AIEd) has become increasingly significant globally. In China, there is a lack of research examining the behavioral intention toward AIEd among pre-service special education (SPED) teachers in terms of digital literacy and teacher self-efficacy. Building on the technology acceptance model, our study evaluated the aspects influencing pre-service special education teachers' intention toward AI in education. Data was gathered from 274 pre-service SPED teachers studying at a Chinese public normal university of special education and analyzed using structural equation modeling (SEM). The results show that digital literacy is associated with the perceived usefulness and ease of use of AIEd, which influences SPED teachers' intention to use AIEd. Additionally, digital literacy significantly impacts the self-efficacy of SPED teachers. Given these results, AI designers in special education should comprehend the effectiveness and usability of AIEd for fostering behavioral intention formation. Simultaneously, special educational programs that identify key content and activities for digital literacy training should be developed, and educators should attempt to execute the relevant pre-service training to enhance the intention of pre-service SPED teachers toward AIEd.","https://openalex.org/W4400768008","yes"
"PREDICTING JOB SATISFACTION AND WORK ENGAGEMENT BEHAVIOR IN THE COVID-19 PANDEMIC: A CONSERVATION OF RESOURCES THEORY APPROACH","Marcela-Sefora Nemțeanu, Vasile Dinu, Rebeka-Anna Pop et al.","2022","https://doi.org/10.15240/tul/001/2022-2-002","article","E+M Ekonomie a Management","The rapid spread of the COVID-19 pandemic has forced organizations to impose physical distancing restrictions on employees and to practice teleworking on a large scale. Adapting to the new context has generated an increase in job insecurity, and a decrease in employee productivity concerning task completion, boosting stress and counterproductive work behavior. Although the challenges employees face when carrying out their activities and work-related responsibilities, together with an understanding of the factors generating counterproductive work behaviors and job insecurity have been intensely studied in the literature, their manifestation and impact within organizations in the context of the COVID-19 pandemic is barely covered. This paper aims to fill this research gap by evaluating the way internal vision communication, employee reward systems, knowledge, and skills capitalization, and the maintaining of task performance can diminish counterproductive work behaviors and job insecurity generated by the COVID-19 pandemic, influencing employee satisfaction and behavior in this stress-inducing context. The responses collected from 863 Romanian employees are modelled with the help of structural equations in SmartPLS. The results show that in the case of counterproductive work behavior, employee satisfaction diminishes, while efficient performance of tasks and responsibilities, knowledge and skills capitalization, internal vision communication, and the existence of an employee reward system for employee input can all generate greater organizational attachment. Job satisfaction mediates the influence of performance, internal marketing, and counterproductive work behavior in employees’ attachment towards their respective organizations. The paper contributes to the development of the Conservation of Resources Theory, highlighting, in the context of the COVID-19 pandemic, ways in which employee satisfaction and work engagement behavior can be enhanced, thus contributing to diminishing counterproductive work behaviors, and fostering a pleasant and safe work environment.","https://openalex.org/W4281838674","yes"
