title,authors,year,doi,type,source,abstract,openalex_id,open_access
"Digital transformation: A multidisciplinary reflection and research agenda","Peter C. Verhoef, Thijs Broekhuizen, Yakov Bart et al.","2019","https://doi.org/10.1016/j.jbusres.2019.09.022","article","Journal of Business Research","Digital transformation and resultant business model innovation have fundamentally altered consumers’ expectations and behaviors, putting immense pressure on traditional firms, and disrupting numerous markets. Drawing on extant literature, we identify three stages of digital transformation: digitization, digitalization, and digital transformation. We identify and delineate growth strategies for digital firms as well as the assets and capabilities required in order to successfully transform digitally. We posit that digital transformation requires specific organizational structures and bears consequences for the metrics used to calibrate performance. Finally, we provide a research agenda to stimulate and guide future research on digital transformation.","https://openalex.org/W2978346165","yes"
"Defining digital transformation: Results from expert interviews","Ines Mergel, Noella Edelmann, Nathalie Haug","2019","https://doi.org/10.1016/j.giq.2019.06.002","article","Government Information Quarterly","Digital transformation approaches outside the public sector are changing citizens' expectations of governments' ability to deliver high-value, real-time digital services. In response to the changing expectations and triggered by supranational agreements, governments are changing their mode of operation to improve public service delivery, be more efficient and effective in their designs, and achieve objectives such as increased transparency, interoperability, or citizen satisfaction. However, beyond the availability of consultancy reports, there is little systematic insight into the way that public administrators themselves are currently defining digital transformation in their own day-to-day practices, how they are approaching digital transformation projects, and what their expected outcomes are. We provide an empirically-based definition of digital transformation derived from expert interviews and develop a conceptual framework with reasons for, processes to, and expected outcomes of digital transformation in the public sector.","https://openalex.org/W2955156490","yes"
"Digital Transformation: An Overview of the Current State of the Art of Research","Sascha Kraus, Paul Jones, Norbert Kailer et al.","2021","https://doi.org/10.1177/21582440211047576","article","SAGE Open","The increasing digitalization of economies has highlighted the importance of digital transformation and how it can help businesses stay competitive in the market. However, disruptive changes not only occur at the company level; they also have environmental, societal, and institutional implications. This is the reason why during the past two decades the research on digital transformation has received growing attention, with a wide range of topics investigated in the literature. The following aims to provide insight regarding the current state of the literature on digital transformation (DT) by conducting a systematic literature review. An analysis of co-occurrence using the software VOSviewer was conducted to graphically visualize the literature’s node network. Approached this way, the systematic literature review displays major research avenues of digital transformation that consider technology as the main driver of these changes. This paper qualitatively classifies the literature on digital business transformation into three different clusters based on technological, business, and societal impacts. Several research gaps identified in the literature on DT are proposed as futures lines of research which could provide useful insights to the government and private sectors in order to adapt to the disruptive changes found in business as a result of this phenomenon, as well as to reduce its negative impacts on society and the environment.","https://openalex.org/W3202582446","yes"
"Digital Business Model, Digital Transformation, Digital Entrepreneurship: Is There A Sustainable “Digital”?","Peter M. Bican, Alexander Brem","2020","https://doi.org/10.3390/su12135239","article","Sustainability","Digitalization plays a major role in contributing towards the United Nations Sustainable Development Goals. Without transformation of existing businesses, both economic and environmental challenges of the future cannot be solved sustainably. However, there is much confusion on interrelationships and terms dealing with digitization or digitalization: Digital business model, digital transformation, digital entrepreneurship. How do these terms interrelate with and to digitalization, and how do they support firms to grow sustainably? To answer this question, we identified seven core digital-related terms based on a structured literature search within the management and economics domain, namely: Digital, Business Model, Digital Business Model, Digital Technology, Digital Innovation, Digital Transformation, and Digital Entrepreneurship. Thereafter, we analyzed prior literature for deriving a common understanding and definition as a basis for interrelations within a conceptual framework. Definitions were presented in a case study setup with twelve innovation and research and development (R&amp;D) managers from various business units of a German high-tech company. Based on these insights, we propose a conceptual framework on how Digital Readiness, Digital Technology, and Digital Business Models might sustainably relate to Innovation, moderated by a Digital Transformation Process. With this approach, we aim to equip practitioners and researchers alike in handling and addressing change through digitalization sustainably.","https://openalex.org/W3037553618","yes"
"Digital transformation: a review, synthesis and opportunities for future research","Swen Nadkarni, Reinhard Prügl","2020","https://doi.org/10.1007/s11301-020-00185-7","article","Management Review Quarterly","Abstract In the last years, scholarly attention was on a steady rise leading to a significant increase in the number of papers addressing different technological and organizational aspects of digital transformation. In this paper, we consolidate existing findings which mainly stem from the literature of information systems, map the territory by sharing important macro- and micro-level observations, and propose future research opportunities for this pervasive field. The paper systematically reviews 58 peer-reviewed studies published between 2001 and 2019, dealing with different aspects of digital transformation. Emerging from our review, we develop inductive thematic maps which identify technology and actor as the two aggregate dimensions of digital transformation. For each dimension, we derive further units of analysis (nine core themes in total) which help to disentangle the particularities of digital transformation processes and thereby emphasize the most influential and unique antecedents and consequences. In a second step, in order to assist in breaking down disciplinary silos and strengthen the management perspective, we supplement the resulting state-of-the-art of digital transformation by integrating cross-disciplinary contributions from reviewing 28 papers on technological disruption and 32 papers on corporate entrepreneurship. The review reveals that certain aspects, such as the pace of transformation, the culture and work environment, or the middle management perspective are significantly underdeveloped.","https://openalex.org/W3017377412","yes"
"Digital Transformation in Healthcare: Technology Acceptance and Its Applications","Angelos I. Stoumpos, Fotis Kitsios, Μichael A. Talias","2023","https://doi.org/10.3390/ijerph20043407","article","International Journal of Environmental Research and Public Health","Technological innovation has become an integral aspect of our daily life, such as wearable and information technology, virtual reality and the Internet of Things which have contributed to transforming healthcare business and operations. Patients will now have a broader range and more mindful healthcare choices and experience a new era of healthcare with a patient-centric culture. Digital transformation determines personal and institutional health care. This paper aims to analyse the changes taking place in the field of healthcare due to digital transformation. For this purpose, a systematic bibliographic review is performed, utilising Scopus, Science Direct and PubMed databases from 2008 to 2021. Our methodology is based on the approach by Wester and Watson, which classify the related articles based on a concept-centric method and an ad hoc classification system which identify the categories used to describe areas of literature. The search was made during August 2022 and identified 5847 papers, of which 321 fulfilled the inclusion criteria for further process. Finally, by removing and adding additional studies, we ended with 287 articles grouped into five themes: information technology in health, the educational impact of e-health, the acceptance of e-health, telemedicine and security issues.","https://openalex.org/W4320920085","yes"
"Mastering digital transformation: The nexus between leadership, agility, and digital strategy","Bader K. AlNuaimi, Sanjay Kumar Singh, Shuang Ren et al.","2022","https://doi.org/10.1016/j.jbusres.2022.03.038","article","Journal of Business Research","Drawing upon new institutional theory, we developed and tested a model on how digital transformational leadership and organizational agility influence digital transformation with digital strategy as a moderator. We found that digital transformational leadership and organizational agility positively influence digital transformation, and digital transformational leadership influences organizational agility. The finding of our study also indicates organizational agility to mediate the relationship between digital transformational leadership and digital transformation. Our findings offer an advanced understanding of the impact of transformational leadership and organizational agility on digital transformation and the role of digital strategy. Our study's findings address critical questions about how leadership style and promoting organizational agility in the public sector can enhance digital transformation.","https://openalex.org/W4220905335","yes"
"Higher education strategy in digital transformation","Mohamed Ashmel Mohamed Hashim, Issam Tlemsani, Robin Matthews","2021","https://doi.org/10.1007/s10639-021-10739-1","article","Education and Information Technologies","","https://openalex.org/W3200178223","yes"
"Building organizational resilience with digital transformation","Zeya He, Huiling Huang, Hye-Yoon Choi et al.","2022","https://doi.org/10.1108/josm-06-2021-0216","article","Journal of service management","Purpose Uncertain times [e.g. coronavirus disease 2019 (COVID-19)] require service businesses to respond in creative, flexible and resilient ways. This paper aims to develop and test the theoretical relationship between digital transformation and organizational resilience (OR), and the consequences of OR on organizations and employees during turbulent times. Design/methodology/approach A scale development was first conducted with an expert panel. Later, 474 participants who work as employees in small and medium-sized service enterprises were recruited for structural equation modeling (SEM). Exploratory factor analysis (EFA), confirmatory factor analysis (CFA) and path analysis were conducted to test the relationship between dimensions of digital maturity, dimensions of OR and two consequential variables: organizational performance and employees’ state optimism. Findings Strategic technology investment helps organizations to develop systematic control sustain operations in crises but may not directly contribute to employees’ capabilities of accurately understanding external turmoil, actively seeking available resources and rapidly developing adaptive solutions. Transformation management intensity equips an organization with transformative vision, governance and culture, and such transformative built-in leadership enables the organization to embrace employees with talents and innovativeness and help employees grow their capabilities when facing crises. The dimensions of OR have different influences on the organization and employees. Originality/value This research develops and tests the dimensions and measurement items of OR for the services domain and empirically tested how the dimensions of digital maturity influence the dimensions of OR, and how OR influences the organization’s performance and employees’ state optimism.","https://openalex.org/W4205705377","no"
"Implementing a Digital Strategy: Learning from the Experience of Three Digital Transformation Projects","Alessia Correani, Alfredo De Massis, Federico Frattini et al.","2020","https://doi.org/10.1177/0008125620934864","article","California Management Review","The rapid growth of digital technologies and the extraordinary amount of data that devices and applications collect each day are increasingly driving companies to radically transform the business architecture through which they create and appropriate value. However, companies may fail to extract value from digital transformation due to the disconnection between strategy formulation and strategy implementation. Through the analysis of three case studies of firms that digitally transformed their business—namely ABB, CNH Industrial, and Vodafone—this article presents a framework than can help companies implement their digital transformation strategy and thereby renovate their business model.","https://openalex.org/W3039554138","yes"
