title,authors,year,doi,type,source,abstract,openalex_id,open_access
"Post-Pandemic Office Work: Perceived Challenges and Opportunities for a Sustainable Work Environment","Maral Babapour Chafi, Annemarie Hultberg, Nina Bozic Yams","2021","https://doi.org/10.3390/su14010294","article","Sustainability","The widespread adoption of remote and hybrid work due to COVID-19 calls for studies that explore the ramifications of these scenarios for office workers from an occupational health and wellbeing perspective. This paper aims to identify the needs and challenges in remote and hybrid work and the potential for a sustainable future work environment. Data collection involved two qualitative studies with a total of 53 participants, who represented employees, staff managers, and service/facility providers at three Swedish public service organisations (primarily healthcare and infrastructure administration). The results describe opportunities and challenges with the adoption of remote and hybrid work from individual, group, and leadership perspectives. The main benefits of remote work were increased flexibility, autonomy, work-life balance and individual performance, while major challenges were social aspects such as lost comradery and isolation. Hybrid work was perceived to provide the best of both worlds of remote and office work, given that employees and managers develop new skills and competencies to adjust to new ways of working. To achieve the expected individual and organisational benefits of hybrid work, employers are expected to provide support and flexibility and re-design the physical and digital workplaces to fit the new and diverse needs of employees.","https://openalex.org/W4200449481","yes"
"Essential jobs, remote work and digital surveillance: Addressing the COVID‐19 pandemic panopticon","Antonio Aloisi, Valerio De Stefano","2021","https://doi.org/10.1111/ilr.12219","article","International Labour Review","An unprecedented COVID-19-induced explosion in digital surveillance has reconfigured power relationships in professional settings. This article critically concentrates on the interplay between technology-enabled intrusive monitoring and the augmentation of managerial prerogatives in physical and digital workplaces. It identifies excessive supervision as the common denominator of ""essential"" and ""remotable"" activities, besides discussing the various drawbacks faced by the two categories of workers during (and after) the pandemic. It also assesses the adequacy of the current European Union legal framework in addressing the expansion of data-driven management. Social dialogue, workers' empowerment and digital literacy are identified as effective ways to promote organizational flexibility, well-being and competitiveness.","https://openalex.org/W3174704712","yes"
"Telework, Hybrid Work and the United Nation’s Sustainable Development Goals: Towards Policy Coherence","Magnus Moglia, John Hopkins, Anne Bardoel","2021","https://doi.org/10.3390/su13169222","article","Sustainability","With increased participation in telework expected to continue, in the aftermath of COVID, it will be important to consider what long-term impact this practice could have on sustainability outcomes. This paper describes a scoping review and identifies connections between telework and sustainability outcomes from previous academic studies. These connections were categorised, and are discussed, based on their contributions to different United Nations Sustainable Development Goals. Most research was found to focus on countries classified as having a very high human development index status. The SWOT matrix technique was used to illustrate the strengths and weaknesses identified in the existing literature, and the threats and opportunities for future work. This aims to ensure policy coherence so that strategies to promote one outcome, such as economic productivity improvements, do not undermine another, such as improved health. Practical implications and research opportunities were identified across a range of SDG impact areas, including good health and well-being, gender equality, reduced inequality, climate mitigation, sustainable cities, and resilient communities. Overall, our impression is that increased rates of telework present an important opportunity to improve sustainability outcomes. However, it will be important that integrated and holistic policy is developed that mitigates key risks.","https://openalex.org/W3194264306","yes"
"Hybrid Work Model: An Approach to Work–Life Flexibility in a Changing Environment","Martin Krajčík, Dušana Alshatti Schmidt, Matúš Baráth","2023","https://doi.org/10.3390/admsci13060150","article","Administrative Sciences","Employees’ work environment has drastically shifted from offices to homes. Telework is often a desired employee benefit, but employers consider it a temporary setting. The lasting COVID-19 pandemic has changed the concept of telework. Home office has gained importance and will likely become an essential part of the working environment even after the pandemic. This paper aims to identify the preferences of employees from culturally diverse backgrounds in relation to the setting of their work location and time after the end of the pandemic. A web-based questionnaire survey as a quantitative research method was used. Data were collected from employees in Slovakia and Kuwait. The research findings indicate that employees value time flexibility, although localization flexibility is also growing in importance. The proposed hybrid work model seems to be the most suitable solution in line with the employees’ preferences. It is crucial to understand employees’ needs in terms of working time and place because only workplaces that are designed for employees and show organizational resiliency can survive and maintain competitiveness in the future.","https://openalex.org/W4379519615","yes"
"Challenges to learning and leading the digital workplace","Helena Vallo Hult, Katriina Byström","2021","https://doi.org/10.1080/0158037x.2021.1879038","article","Studies in Continuing Education","Digitalisation does not only transform material constructions of workplaces and work but also social constructions for employees' interaction and learning at work. In this paper, we explore emerging challenges related to the digitalisation of workplaces aiming for an understanding of the changing prerequisites for working and competence. Our findings from a small qualitative exploratory study illustrate the complexity of the development of workplaces, characterised by strong but diffuse relationships between people, technology, and work practices. We argue that in the development of digital workplaces, a sole focus on information systems as new technology, along with training and education of their functionality is insufficient. First, the demand for new competencies in the workplace calls for understanding learning practices in everyday digital work. Second, leading the transition towards a digital workplace requires learning new leadership practices. Thus, an understanding of work rather than systems ought to be central in the future digitalisation of work, in which the systems are one part of development, not the development.","https://openalex.org/W3130682824","yes"
"Creating a culture of inclusion and belongingness in remote work environments that sustains meaningful work","Marilyn Y. Byrd","2022","https://doi.org/10.1080/13678868.2022.2047252","article","Human Resource Development International","The shift to a remote work environment introduced new barriers to inclusion that calls for reimagining the contexts and cultures that individuals are now working in. Key impacts of an inclusive culture discussed in this article are feelings of belongingness and engaging in meaningful work. Sustaining an inclusive culture, means that employers will need to re-think critical organizational forces such as leadership that are needed to reinforce a culture of inclusion. Implications for human resource development (HRD) will emphasize how emergent research of an inclusive, remote work environment creates opportunities to engage in trans-disciplinary research that informs practitioners on how to reimagine the changed landscape of work.","https://openalex.org/W4220743976","no"
"True nature of hybrid work","Matti Vartiainen, Outi Vanharanta","2024","https://doi.org/10.3389/forgp.2024.1448894","article","Frontiers in Organizational Psychology","Introduction This article reviews the discussion concerning hybrid work (HW) during and after the pandemic. We argue that understanding hybrid work as simply dividing working time between an office and another location limits the potential of organizing work sustainably based on organizations' goals and employee needs. Understanding the core nature of hybridity as a flexible and systemic entity and a “combination of two or more things” impacting work outcomes such as wellbeing and performance opens a much richer view of organizing work now and in the future. The critical questions are: What is the core nature of hybridity when two or more things are combined in work, and what factors influence configuring them? Moreover, what are their potential wellbeing and performance outcomes? Methods To discover core elements, we reviewed how the HW concept was defined in consulting companies' publications, business journals, and international organizations' publications, mainly focusing on challenges and opportunities for hybrid work during COVID-19. We also analyzed how the concept was used in European questionnaire findings from 27 EU countries during the pandemic. The potential wellbeing and performance outcomes were studied using a sample of prior literature reviews on remote and telework. To identify “Two or more things” in the discussions, we broke down the HW concepts into the physical, virtual, social, and temporal work elements and their sub-elements and designable features. Results We found that the concepts used in the discussions on hybrid work reflect traditional views of remote and telework as a combination of working at home and in the office. Discussion We suggest configuring hybrid work as a flexible entity, which opens a perspective to design and implement diverse types of hybrid work that are much more prosperous and sustainable than just combining onsite and offsite work. The expected wellbeing and performance outcomes can be controversial due to the misfit of the hybrid work elements with the organizational purpose, employee needs and expectations, and non-observed contextual factors in implementations.","https://openalex.org/W4402529417","yes"
"The Future Is Hybrid: How Organisations Are Designing and Supporting Sustainable Hybrid Work Models in Post-Pandemic Australia","John Hopkins, Anne Bardoel","2023","https://doi.org/10.3390/su15043086","article","Sustainability","Hybrid work models have rapidly become the most common work arrangement for many knowledge workers, affording them with improved work–life balance and greater levels of job satisfaction, but little research has been conducted to identify the different hybrid work models that are emerging, and the appropriate supports needed to drive sustainable improvement. This paper utilises primary data from a series of semi-structured interviews with senior Australian human resource (HR) managers, to identify a range of different approaches to hybrid work design, applying the Conservation of Resources (COR) theory. Analyses of these findings have resulted in five key contributions: one being the identification of the most popular current hybrid work arrangements; the second being the key supporting pillars that are required to support successful hybrid work; the third identifies the infrastructure required to support these pillars; the fourth being a theoretic contribution that extends the existing academic literature in this field; and with the final contribution being an interpretation of the findings via COR theory. These contributions have significant implications for both scholars and human resource professionals, as organisations and academics strive to learn from the recent period of turbulence and develop sustainable improvements in performance and working conditions (SDG8), with improved support for employee health and wellbeing (SDG3), and gender equality (SDG5).","https://openalex.org/W4319597671","yes"
"Developing sustainable careers for remote workers","Kimberly S. McDonald, Linda M. Hite, Kimberly W. O’Connor","2022","https://doi.org/10.1080/13678868.2022.2047148","article","Human Resource Development International","As remote work becomes an option for many, ensuring career development in virtual workspaces will require innovative action from individuals and from HRD. Using the sustainable careers literature as a framework, this article explores how individuals can build viable and meaningful careers working remotely. The research indicates there are both advantages and challenges associated with virtual work. We address how Human Resource Development can help remote workers, maximize the advantages, and navigate the challenges to ensure the sustainability of their careers. In closing, we also offer implications for HRD research.","https://openalex.org/W4214945058","yes"
"Working Conditions and Work Engagement by Gender and Digital Work Intensity","Paula Rodríguez‐Modroño","2022","https://doi.org/10.3390/info13060277","article","Information","Telework and other flexible working arrangements, which have exponentially expanded with new advancements in digitalization and the impact of COVID-19, are modifying working conditions and workers’ engagement. Using the ‘job demands-resources’ model, we applied multivariate techniques to examine the different ways in which telework intensity impacts working conditions by gender. Increased intensity of remote working was positively associated with better skills and discretion and work engagement, while it was negatively associated with the other dimensions of job quality (particularly with working time quality). Even though women usually score higher than men in work intensity or working time quality, high intense female teleworkers experience a downturn with respect to these two items. Low and medium intensities of teleworking were positively associated with skills and discretion, working time quality, improved physical environment, and especially with better prospects and earnings. In conclusion, the intensity of teleworking and gender affect job quality and work engagement in different degrees, highlighting the importance of including these multiple effects on the design of flexible working arrangements.","https://openalex.org/W4281738551","yes"
