doi,status,time_ms,final_url,error
10.1007/978-3-032-02801-3_1,200,1737,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_1?error=cookies_not_supported&code=578989b6-798a-481b-a364-b21378724f19,
10.1007/978-3-032-02801-3_2,200,1203,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_2?error=cookies_not_supported&code=e04962f6-12d0-4816-8bb7-a26df1b8c384,
10.1007/978-3-032-02801-3_3,200,1189,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_3?error=cookies_not_supported&code=1bdb8615-057d-4479-a787-42e0539127ab,
10.1007/978-3-032-02801-3_4,200,1253,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_4?error=cookies_not_supported&code=f7d49130-6523-49f1-a6c4-975553269cb9,
10.1007/978-3-032-02801-3_5,200,1164,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_5?error=cookies_not_supported&code=6c35f2fd-0a6d-4166-bf7b-8cafe3144fd9,
10.1007/978-3-032-02801-3_6,200,1176,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_6?error=cookies_not_supported&code=b0673e41-8a74-4b09-a91f-7ed0a75d30ce,
10.1007/978-3-032-02801-3_7,200,1292,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_7?error=cookies_not_supported&code=d382adfe-bcf9-42cf-a8d9-276b4ef78257,
10.1007/978-3-032-02801-3_8,200,1117,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_8?error=cookies_not_supported&code=a636b1d8-2db1-467e-ba65-2a86980a877e,
10.1007/978-3-032-02801-3_9,200,1192,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_9?error=cookies_not_supported&code=5ce73287-0ef3-4b05-b650-c0eacbd59cd1,
10.1007/978-3-032-02801-3_10,200,1334,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_10?error=cookies_not_supported&code=a759761c-029f-4619-87bc-0b1cf0f34fc9,
10.1007/978-3-032-02801-3_11,200,1288,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_11?error=cookies_not_supported&code=ac08ee25-23aa-4431-9f33-7e2c470468e5,
10.1007/978-3-032-02801-3_12,200,1314,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_12?error=cookies_not_supported&code=59da65e4-7951-493d-83ae-cc938470b84e,
10.1007/978-3-032-02801-3_13,200,1301,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_13?error=cookies_not_supported&code=1cd8f43f-5f7f-4ea6-ab0f-0f2792541d08,
10.1007/978-3-032-02801-3_14,200,1145,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_14?error=cookies_not_supported&code=9abbce71-5270-442b-bc00-674706d12343,
10.1007/978-3-032-02801-3_15,200,1248,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_15?error=cookies_not_supported&code=3cc05db0-dc47-44ae-b11c-ab2766eeb691,
10.1007/978-3-032-02801-3_16,200,1139,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_16?error=cookies_not_supported&code=bf18a951-af47-4acd-becc-181e7767a472,
10.1007/978-3-032-02801-3_17,200,1191,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_17?error=cookies_not_supported&code=521b0218-d71c-4e01-ae21-3b1e31a80ee1,
10.1007/978-3-032-02801-3_18,200,1312,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_18?error=cookies_not_supported&code=f9da2d54-4c1b-42c4-983f-794f89492055,
10.1007/978-3-032-02801-3_19,200,1234,https://link.springer.com/chapter/10.1007/978-3-032-02801-3_19?error=cookies_not_supported&code=8404b29d-64b8-440f-8114-d57e5406005f,
