title,authors,year,doi,type,source,abstract,openalex_id,open_access
"Digital transformation: a review, synthesis and opportunities for future research","Swen Nadkarni, Reinhard Prügl","2020","https://doi.org/10.1007/s11301-020-00185-7","article","Management Review Quarterly","Abstract In the last years, scholarly attention was on a steady rise leading to a significant increase in the number of papers addressing different technological and organizational aspects of digital transformation. In this paper, we consolidate existing findings which mainly stem from the literature of information systems, map the territory by sharing important macro- and micro-level observations, and propose future research opportunities for this pervasive field. The paper systematically reviews 58 peer-reviewed studies published between 2001 and 2019, dealing with different aspects of digital transformation. Emerging from our review, we develop inductive thematic maps which identify technology and actor as the two aggregate dimensions of digital transformation. For each dimension, we derive further units of analysis (nine core themes in total) which help to disentangle the particularities of digital transformation processes and thereby emphasize the most influential and unique antecedents and consequences. In a second step, in order to assist in breaking down disciplinary silos and strengthen the management perspective, we supplement the resulting state-of-the-art of digital transformation by integrating cross-disciplinary contributions from reviewing 28 papers on technological disruption and 32 papers on corporate entrepreneurship. The review reveals that certain aspects, such as the pace of transformation, the culture and work environment, or the middle management perspective are significantly underdeveloped.","https://openalex.org/W3017377412","yes"
"Entrepreneurs as strategic transformation managers: Exploring micro-foundations of digital transformation in small and medium internationalisers","Vahid Jafari‐Sadeghi, Hannan Amoozad Mahdiraji, Gazi Mahabubul Alam et al.","2022","https://doi.org/10.1016/j.jbusres.2022.08.051","article","Journal of Business Research","This paper is set to explore the role of individual-level behaviours and actions in the digital transformation of international SMEs . This is particularly important since little is known regarding the extent to which entrepreneurs and decision-makers manage the digitalisation process. Thus, building on the theory of planned behaviour, this research focuses on individual-level micro-foundations in the digital transformation of small and medium internationalisers. The paper benefits from a mixed-method synthesis. First, through a systematic review of literature, we identified twenty-seven factors in four inclusive categories. Then, they have been narrowed down to the top seven individual-level micro-foundations, using Intuitionistic Fuzzy Delphi based on Normalised Hamming Distance. Subsequently, Intuitionistic Fuzzy Decision-Making Trial and Evaluation Laboratory analysis is applied to disentangle the causality and effectuality as well as conceptual framework to depict their interrelationships. Our findings contribute to the digital transformation research by developing six propositions that explore the relationships between SMEs’ micro-foundations at the individual level.","https://openalex.org/W4295880339","yes"
"Mastering digital transformation: The nexus between leadership, agility, and digital strategy","Bader K. AlNuaimi, Sanjay Kumar Singh, Shuang Ren et al.","2022","https://doi.org/10.1016/j.jbusres.2022.03.038","article","Journal of Business Research","Drawing upon new institutional theory, we developed and tested a model on how digital transformational leadership and organizational agility influence digital transformation with digital strategy as a moderator. We found that digital transformational leadership and organizational agility positively influence digital transformation, and digital transformational leadership influences organizational agility. The finding of our study also indicates organizational agility to mediate the relationship between digital transformational leadership and digital transformation. Our findings offer an advanced understanding of the impact of transformational leadership and organizational agility on digital transformation and the role of digital strategy. Our study's findings address critical questions about how leadership style and promoting organizational agility in the public sector can enhance digital transformation.","https://openalex.org/W4220905335","yes"
"The micro-foundations of digitally transforming SMEs: How digital literacy and technology interact with managerial attributes","Nadia Zahoor, Anastasios Zopiatis, Samuel Adomako et al.","2023","https://doi.org/10.1016/j.jbusres.2023.113755","article","Journal of Business Research","Research often illustrates the importance of digital transformation for small and medium-sized enterprises (SMEs), particularly during external disruptions. However, little attention has been devoted to how SMEs’ digital transformation occurs. Employing a micro-foundations perspective, this study investigates the effect of managers’ digital literacy (MDL) on SMEs’ digital transformation. We test a moderated mediation model using survey data from 158 SMEs operating in the United Arab Emirates. Our findings suggest that MDL impacts digital transformation through the usage of digital technologies. Moreover, the relationship between MDL and the usage of digital technologies is further moderated by managerial attributes (i.e., gender, education, and age). Theoretical and practical implications are discussed.","https://openalex.org/W4321145005","yes"
"Digital transformation, for better or worse: a critical multi‐level research agenda","Justyna Dąbrowska, Argyro Almpanopoulou, Alexander Brem et al.","2022","https://doi.org/10.1111/radm.12531","article","R and D Management","For better or worse, digital technologies are reshaping everything, from customer behaviors and expectations to organizational and manufacturing systems, business models, markets, and ultimately society. To understand this overarching transformation, this paper extends the previous literature which has focused mostly on the organizational level by developing a multi‐level research agenda for digital transformation (DT). In this regard, we propose an extended definition of DT as “a socioeconomic change across individuals, organizations, ecosystems, and societies that are shaped by the adoption and utilization of digital technologies.” We suggest four lenses to interpret the DT phenomenon: individuals (utilizing and adopting digital technologies), organizations (strategizing and coordinating both internal and external transformation), ecosystems (harnessing digital technologies in governance and co‐producing value propositions), and geopolitical frameworks (regulating the environments in which individuals and organizations are embedded). Based on these lenses, we build a multi‐level research agenda at the intersection between the bright and dark sides of DT and introduce the PIAI framework, which captures a process of perception , interpretation , and action that ultimately leads to possible impact . The PIAI framework identifies a critical research agenda consisting of a non‐exhaustive list of topics that can assist researchers to deepen their understanding of the DT phenomenon and provide guidance to managers and policymakers when making strategic decisions that seek to shape and guide the DT.","https://openalex.org/W4220921529","yes"
"Capability creation: Heuristics as microfoundations","Christopher B. Bingham, Travis Howell, Timothy Ott","2019","https://doi.org/10.1002/sej.1312","article","Strategic Entrepreneurship Journal","Research Summary While much research suggests that capabilities are critical for firms, little is known about the individual‐level origins (“microfoundations”) of capabilities. Using in‐depth nested case studies, we explore how firms develop an internationalization capability. The setting is six entrepreneurial firms from three culturally distinct countries. Our data show that executives begin by seeding the process with imperfect heuristics and then managers continue development by elaborating their understanding of what task to perform and how to perform it. Importantly, managers across hierarchical levels support the development of their firm's internationalization capability by abstracting key heuristics away from any one experience such that the capabilities become less routine over time. Overall, we contribute to the microfoundations movement in strategy and to the literature on organizational learning. Managerial Summary Firm capabilities are not just important to strategy, but often are the strategy of firms, especially in dynamic markets. Popular examples include Cisco's acquisition capability, Hewlett–Packard's alliance capability, Starbuck's internationalization capability, and Apple's product development capability. Unfortunately, it is often unclear to executives how to build a firm capability. We explore how entrepreneurial firms develop their own internationalization capability over time. Our data show that these capabilities develop through a process of seeding, elaborating, and abstracting key heuristics for internationalization. Importantly, we show that this process is shaped by extensive communication within and across multiple hierarchical levels. In this way, heuristics move from individual‐level “rules of thumb” for action to firm‐level understandings for fueling growth and creating competitive advantage.","https://openalex.org/W2914942280","yes"
"Microfoundations of Strategic Agility in Emerging Markets: Empirical Evidence of Italian MNEs in India","Alberto Ferraris, William Y. Degbey, Sanjay Kumar Singh et al.","2021","https://doi.org/10.1016/j.jwb.2021.101272","article","Journal of World Business","We propose the individual-level microfoundations of subsidiary CEOs in emerging markets as antecedents of the strategic agility of multinational enterprises, and subsidiary embeddedness as a key organizational-level moderator of these relationships. Combining quantitative data on subsidiary CEOs operating in India with qualitative interviews with Italian HQ counterparts, our results suggest that subsidiary CEOs’ tenure in emerging markets, along with their overall experience, affects MNE strategic agility positively. Similarly, CEOs’ cognitive characteristics - problem solving and reasoning, and language and communication skills (individual-level microfoundations) - affected strategic agility positively, while subsidiary embeddedness moderated these relationships in different ways, leaving space for fresh managerial and theoretical considerations.","https://openalex.org/W3215497222","yes"
"A look at the future of work: The digital transformation of teams from conventional to virtual","Davor Vuchkovski, Maja Zalaznik, Maciej Mitręga et al.","2023","https://doi.org/10.1016/j.jbusres.2023.113912","article","Journal of Business Research","This study addresses the challenges of digitally transforming teams from conventional to virtual environments in response to the unique conditions of a global pandemic lock-down and the need for business survival, rather than as a proactive strategic move initiated and encouraged by senior management. Based on dynamic capabilities theory, we use 18 in-depth interviews to identify the skills and capabilities required for successful transition at the individual and organizational levels. First, at the individual level, communication differences (i.e., informal vs. formal, spontaneous vs. structured, and synchronous vs. sequential) were identified when comparing conventional and virtual teams. Second, at the organizational level, this study identified several challenges related to the digital transformation of teams (e.g., onboarding challenges, barriers in the virtual environment, structural challenges, new team roles such as change manager, chief officer of happiness, etc.). Finally, seven different digital dynamic capabilities are proposed for teams transforming to a virtual environment.","https://openalex.org/W4366001194","yes"
"A Process for Managing Digital Transformation: An Organizational Inertia Perspective","Evgeny Káganer, Robert Wayne Gregory, Suprateek Sarker","2023","https://doi.org/10.17705/1jais.00819","article","Journal of the Association for Information Systems","Digital transformation is often described as organizational change that is simultaneously triggered and enabled by digital technologies. As with other types of organizational transformation, overcoming organizational inertia lies at the heart of digital transformation. However, our understanding of the specific processes employed by incumbent firms to overcome organizational inertia in digital transformation is currently limited. In this paper, we draw on the case study of AsiaBank, a large traditional bank in Asia, to explore the microfoundations of how incumbent firms tackle different types of inertia as they embark on a digital transformation journey. We identify four key digital transformation processes—i.e., embracing the consumerization of digital technologies, diffusing and appropriating digital business practices, enabling distributed organizing, and revamping IT architecture—that combine to reduce negative psychology, sociocognitive, sociotechnical, political, and economic inertia in digital transformation. Our findings expand the extant view on the role of agency in overcoming organizational inertia and contribute to the literature at the intersection of digital innovation and transformation.","https://openalex.org/W4383960386","yes"
"Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance","Tim Heubeck","2023","https://doi.org/10.1016/j.digbus.2023.100053","article","Digital Business","Digital business model transformation (DBMT) necessitates new managerial capabilities, yet the existing literature lacks an empirical understanding of managerial capabilities as antecedents to strategic change and firm performance. This paper builds on dynamic managerial capabilities theory to argue that managerial human capital—composed of leadership and entrepreneurial skills—is a critical facilitator of DBMT and resultant firm performance. Further, the research model proposes that managers' social capital and cognition positively moderate the relationship between human capital and DBMT. The study's findings from a sample of German Industry 4.0 firms provide new insights into the significance of managerial capabilities in a digital economy. This study advances management literature by demonstrating that the benefits of managers' human capital for DBMT are contingent on its form: entrepreneurial skills facilitate digital transformation integral for firm performance, while leadership skills have no impact on firm performance—neither directly nor indirectly through DBMT. Thus, this study provides strong evidence of the importance of entrepreneurial skills in driving DBMT to increase firm performance. Further, the findings offer a nuanced account of the interrelationships between dynamic managerial capabilities, revealing that higher levels of social capital and lower levels of cognition increase the positive effect of entrepreneurial skills on DBMT. This study altogether reaffirms the significance of managers' dynamic capabilities for strategic change enabled by DBMT and their performance benefits, yet it reveals that the effect mechanisms differ from those found in nondigital research settings.","https://openalex.org/W4313597615","yes"
